200000 200000
1 48095 132163
2 101911 101914
2 119882 153621
1 138848 154274
2 161516 197666
2 64122 70814
2 7392 126340
1 96522 188248
2 94497 131275
1 105633 134187
2 9014 37796
1 56062 140756
2 649 9683
2 148531 170528
2 98039 146198
0 133364 199726
1 59705 91026
0 72579 111628
1 3855 27620
1 54394 98175
2 117453 179761
1 120517 184827
1 37518 154112
1 8047 43279
1 22438 86720
1 8030 138516
2 145894 193462
2 57523 186286
2 83710 85143
1 75631 99670
2 17124 89538
1 24888 118303
1 72416 132653
0 50102 115695
1 32434 118768
1 126798 160964
2 36612 139210
1 22898 177162
2 4045 22960
1 34783 98591
1 36267 188129
2 17513 129370
2 35627 62023
1 28477 91260
2 60911 187644
2 138227 190114
1 47453 77438
2 50686 170952
2 111442 174997
2 126132 173693
1 135615 162399
1 31013 96264
2 48244 161067
2 47184 55856
1 43501 165349
1 2282 33615
1 82365 197420
1 48106 199060
1 75900 138653
2 49594 101206
2 78703 185209
0 132575 160681
1 93642 172029
1 57178 161752
2 96305 138880
1 57514 91770
2 25462 139880
1 69296 138940
0 167730 193946
1 11504 157513
0 6559 157076
1 151742 167240
1 55621 159025
1 98200 133726
2 9584 30031
0 38153 164468
1 69320 179967
2 49263 171593
2 16993 154676
1 97307 174506
1 47934 89533
2 116029 183320
2 75054 126034
2 162390 173255
2 55924 99191
1 63659 121043
2 49332 127324
1 106189 137277
2 23994 91953
2 52098 189260
1 175354 195145
1 21521 94817
2 20851 151281
2 99593 136663
1 55770 71870
2 4909 192913
1 36589 108554
2 142778 192166
2 83124 125041
2 74910 135222
1 26928 115638
0 48450 120652
2 41695 116083
2 37792 52746
2 108517 123497
2 24744 29778
2 54684 189651
1 46850 120242
1 171892 188110
2 64283 163154
0 129717 195144
2 32148 106648
1 73843 94748
1 27988 103700
2 67837 128598
2 92581 109013
1 198585 198694
2 35179 124963
1 23290 110363
0 62535 87573
1 66281 133642
1 40290 96956
0 92433 135039
1 3994 155091
2 83689 84653
1 109055 157477
2 107749 176431
2 149064 166422
2 86912 175779
